date,tower,room,affected_system,time_reported,time_resolved,problem,action,recommendation,status,attended_by,time
02/10/13,TBM TW,1227,Vingcard,8:00am,11:00am,Reported by FO Angel and GSC Amor as per RA yellow light indicated.,Replaced battery and reprogrammed access lock.,,done,Mark Ruaya,04:55:52 PM
02/13/13,TBM TW,1828,Vingcard,2:20pm,2:41pm,Rm1828 vingcard doorlock lobatt,"Replace the battery of the vingcard doorlock at rm1828 while testing notice that the cable that connected to the battery has broken, replace the cable and reprogram the doorlock, make a open close test.",,Rm.1828 doorlock ok now,Rommel Sardoma,04:13:56 PM
02/14/13,TBM TW,523,Internet,09:30 am,09:45 am,Guest cannot connect to WIFI of LAN defualt homepage on korean website.,"Orient Guest to try to connect to Yahoo or Google,and login page was displayed using WIFI,enter username & password test connecting to internet was restored.",,internet was enabled ,John Pacion,06:04:23 PM
02/14/13,TBM TW,625,Internet,4:30 pm,4:35 pm,Guest cannot connect to the internet due to limited internet access,"reset guest user access on antlabs, reset guest laptop internet connection, re-enter user/password",,internet restored,John Pacion,06:10:31 PM
02/15/13,TBM MW,501,Telephone,6:00pm,6:10pm,RA Allan requesting to setup guest phone living room area.,Setup guest phone test ok. room was showed before now they will going to release that room.,,done,Mark Ruaya,09:01:40 AM
02/16/13,BHOTEL,209,Vingcard,2:00pm,3:45pm,Reported by Boy Eng door handle can open from outside without inserting the keycard.,"Tried to replaced Reader, control module and battery test ok. using master key and guest key",,Done,Mark Ruaya,05:14:11 PM
02/17/13,BHOTEL,1109,Vingcard,8:30am,12:00nn,As per Eng Boy defective lan port,Found out defective port switch from IDF. Setup Dlink 8port and test room 1109 and 1110 where the 2 room connected to Dlink 8 port switch.,,done,Mark Ruaya,05:51:53 PM
02/17/13,BHOTEL,512,Internet,6:20pm,6:35pm,rm512 intermittent lan connection,"configure lan properties, guest cant connect to wifi due to security policy in his laptop, internet ok now",,Internet connection ok,Rommel Sardoma,10:57:50 PM
03/12/13,TBM TW,1623,Internet,02:15 pm,02:30 pm,guest cannot see TBM antlabs login page on her laptop on Win7,"Orient guest how to connect to Guest WIFI and how to enter username password,internet wa detected and connected to laptop",,internet enabled.,John Pacion,06:44:47 PM
03/13/13,TBM MW,1411,Internet,9:33am,9:51am,Reported by RA TP Wireless Router detached under the writing desk.,Fixed and secured TPLink Router. Test internet connection ok via wireless.,,done,Mark Ruaya,05:46:35 PM
03/13/13,TBM TW,1429,Internet,10:07am,10:20am,guest internet problem ,As per Guest early this morning internet connection both wireless and wired was stable on his Mac Book and suddently he just disconnected. Fixed by restarting laptop and add the Mac Add of his laptop to the antlabs. ,,test ok,Mark Ruaya,05:51:10 PM
03/14/13,TBM TW,1535,Telephone,9am,10am,Base on sir John log reported by GSC guest experienced problem on his phone guest did not specified the problem ,Assisted by SG Tower Wing. Upon checking all 3 units inside the room are ok loud and clear. Tested with Ms Amor GSC.,,done,Mark Ruaya,05:46:26 PM
03/15/13,TBM MW,1012,Internet,9:45pm,10:20pm,Guest request for internet assistance,"Assist the guest for internet connection and notice that his laptop has a security policy that wont check the wifi properties, add the mac address of the guest laptop, advice again the guest to check again the internet and found ok now",,Guest internet ok now,Rommel Sardoma,10:40:08 PM
03/19/13,TBM TW,528,Internet,10:16PM,10:19PM,Guest cant go to bellevue logon page,"Assist the guest and teach how to go to bellevue logon page, advice the guest to type yahoo.com at internet address bar after connecting to wifi",,Guest internet already connected,Rommel Sardoma,12:02:02 AM
03/20/13,BHOTEL,602,Internet,9am,9:05am,Rendered TPLink wireless router,Pulled by FO and keep to engineering office received by Boy of Eng.,,Done,Mark Ruaya,04:58:13 PM
03/20/13,TBM TW,1128,Internet,10:00am,1:00pm,Guest internet problem via wifi connection,Upon checking guest already managed to connect his devices to the internet via wireless connection.,,done,Mark Ruaya,05:03:19 PM
03/20/13,TBM TW,1928,Internet,1:30pm,2:00pm,Tel no dial tone all 3 unit.,With Erict found out no dial tone from TTC panel 19th flr EEroom. At TTC B1 dial tone is ok relocated patching pairing from pair 7 to pair 16. Test ok .,,done dial to restored,Mark Ruaya,05:10:18 PM
03/20/13,TBM MW,1502,Internet,7:08pm,7:13pm,Guest need internet assistance,"Assist the guest on how to connect using lan and how to log on at the bellevue webpage, after asistance guest connected at internet, guest not preffered to use wifi due to his VPN connection",,Guest already satisfy,Rommel Sardoma,07:14:57 PM
03/21/13,TBM MW,711,Internet,7:28pm,7:32pm,Guest need internet assistance,"Assist the guest at rm 711 on how to connect to wifi and how to log on at bellevue webpage, after assistance guest already connect at internet",,Guest already satisfy,Rommel Sardoma,11:21:30 PM
03/22/13,TBM MW,612,Vingcard,10:10am,10:20am,Reported by Concierge Darwin Guest could not enter his room,Found out vingcard light indicated orange its mean double lock might somebody inside the room. Tried to open using open lock but when we knock somebody open the door. ,,Done,Mark Ruaya,09:06:20 AM
03/22/13,TBM TW,1426,VGA Cable,9:00am,9:20am,Guest barrowed VGA Cable. ,Guest already checkout pulled out 1pc VGA Cable,,done,Mark Ruaya,09:09:53 AM
03/22/13,TBM TW,1727,Internet,9:00am,9:10am,Setup TPLINK Wireless Router inside the room,Guest already Checkout pulledout 1 unit TPLINK Router,,Done,Mark Ruaya,09:11:05 AM
03/28/13,TBM MW,1209,Internet,4:05pm,4:11pm,Guest cant access internet,"Assist the guest on how to access internet by connecting the bellevue SSID and iputting his username and password,internet ok now after login",,Guest already satisfy,Rommel Sardoma,10:13:30 PM
03/28/13,TBM MW,1210,Telephone,5:06pm,5:10pm,Phone no dialtone as per guest,"When i arrive at the rm and i notice that the line button was off, turn on the line button, test the phone",,Guest already satisfy,Rommel Sardoma,10:14:56 PM
04/01/13,TBM TW,1429,Internet,2:02pm,2:09pm,Guest cant go to bellevue login page,"Assist the guest and notice that he cant access bellevue login page, reconnect the wifi but still same problem, check internet connection settings and found out that theres a proxy that was configure, guest remove the proxy and refresh the page, internet ok now",,Guest already satisfy,Rommel Sardoma,02:15:44 PM
04/01/13,TBM MW,1502,Internet,9:02pm,9:08pm,Guest cant go to bellevue login page,"Assist the guest in connecting to wifi and upon checking of his laptop notice that the wifi connection was disable, enable wifi connection and connect to wifi,internet already been browse and the login page appear",,Guest already satisfy,Rommel Sardoma,09:09:07 PM
04/02/13,TBM TW,1735,Internet,10:41pm,10:53pm,Guest need internet assistance,"Assist the user on how to connect to wifi with his iphone and explain how to connect because it was new, about the laptop wifi cant connect due to blocking of antivirus,laptop was company  issue, advice the guest to conect using lan, guest already connected to internet ",,guest already satisfy,Rommel Sardoma,11:38:04 PM
04/03/13,BHOTEL,1109,Vingcard,5:10 pm,6:00 pm,vingcard lowbatt. eng tried to use the mechanical key but still wont open,tried the mechanical key several times until it opened. changed the batteries and reprogrammed the doorlock.,,done,Jeff Gaspar,10:27:07 PM
04/03/13,TBM TW,1735,Internet,8:20 pm,8:30 pm,internet assistance,showed the guest how to use his password.,,done,Jeff Gaspar,10:27:59 PM
04/03/13,TBM MW,1604,Internet,9:00 pm,9:10 pm,internet assistance,showed the guest on how to connect her phone to our wifi.,,done,Jeff Gaspar,10:29:21 PM
02/19/13,TBM TW,1926,Internet,9:00PM,9:14PM,Guest at rm 1926 need internet assistance,Assist the guest in connecting internet thru lan connection,,Internet of the guest ok now,Rommel Sardoma,09:34:20 PM
02/19/13,TBM TW,926,Internet,9:15PM,9:26PM,guest need assistance in looking lan port,"Assist the guest and look the lan port and notice that no lan port at the faceplate possible it was fall inside the wall, produce 3m long cable to connect to the main port at the back of the TV ",,Internet ok now to the guest,Rommel Sardoma,09:38:28 PM
02/20/13,TBM TW,1010,Internet,02:40 pm,02:45 pm,Guest reported that he cannot send email on his IMAC laptop,"Logout  and relogin with check Obtain Public IP add, problem on SMTP server, due to email cannot be send, advised guest to use their own mail  WEBSERVER ",,Guest agreed to use company Mail Webserver.,John Pacion,07:04:12 PM
02/20/13,TBM TW,826,Internet,7:10pm,7:14pm,Guest need internet assistance,"Arrive at the guest rm at rm 826 and check the guest laptop and notice that guest cant see the username and password portion due to did not scroll properly, assist the guest and show the login portion.",,Guest can internet now,Rommel Sardoma,09:14:46 PM
02/20/13,TBM TW,1823,Internet,9:04pm,9:11pm,Guest need assistance for internet,"When i arrive at the guest rm he showed me how to login and found ok, did not do anything",,Guest can connect now to internet,Rommel Sardoma,09:16:25 PM
02/21/13,TBM MW,1217,Lan port,5:45pm,6:20pm,rm 1217 broken lan port ,Replace the case of the lan port at rm 1217 and test for connection after replacement,,rm 1217 ok for release,Rommel Sardoma,07:42:24 PM
02/22/13,TBM MW,1616,Telephone,2:25pm,2:38pm,RA reported tel spiral defectived,Replaced defective spiral and report to Ms Ann HK room status.,,test ok done,Mark Ruaya,06:08:29 PM
02/22/13,TBM TW,833,Internet,10:27am,10:37am,Guest internet connection,found out guest laptop has a antivirus running thats keep blocking the antlabs. Add both Mac ADD lan and wifi with expiry date.,,Test ok,Mark Ruaya,06:26:20 PM
02/23/13,TBM MW,715,Internet,6:10 pm,6:20 pm,internet assistance,her wifi was disabled. enabled it then showed her how to used her access code.,,done,Jeff Gaspar,07:18:20 PM
02/25/13,BHOTEL,310,Internet,10:05pm,10:22pm,rm310 guest internet slow,"Check the wifi connection using mis laptop and found low connection, reset the AP and test again the connection",,Guest internet connection ok now,Rommel Sardoma,10:50:42 PM
02/26/13,TBM MW,1210,Internet,02:40 pm,02:45 pm,Guest cannot connect to WIFI on Laptop with WIn7 OS,"Ask guest to bypass wifi setup during connection and goto either YAHOO or GOOGLE site so as to get Antlabs user login, enter guest login profile and internet was restored ",,ok,John Pacion,07:42:35 PM
03/02/13,TBM MW,607,Telephone,5:16pm,5:34pm,Message indicator light up,"Dismantle the telephone i/o and switch the polarity of wire in the i/o, test the phone",,Phone ok now,Rommel Sardoma,09:27:31 PM
03/05/13,TBM MW,1505,Telephone,10:42pm,10:54pm,Telephone no dialtone,"Dismantle the I/O of the voice and found out that the wire was disconnected, fix the I/O and check and test the phone after fixing it",,Phone working now,Rommel Sardoma,11:55:20 PM
03/05/13,TBM TW,1527,Internet,8:16pm,8:24pm,Internet assistance,"show the guest that the wifi was visible to his ipad because previously he told me it was not there, advice the guest to connect",,Internet working ok,Rommel Sardoma,11:57:17 PM
03/05/13,TBM TW,1433,Internet,11:14pm,11:31pm,Guest cant connect using lan connection,"check the lan that the guest use and notice that it was different lan that he use, ad vice the guest to use our lan, internet connection ok after connecting our lan cable.",,Guest internet connection working ok now,Rommel Sardoma,11:59:19 PM
03/06/13,TBM MW,1511,Internet,9:56pm,10:11pm,Guest cant connect to wifi,"Check the connection at 1511 using mis laptop and found ok, check wifi connection to the guest laptop and being found and connect her laptop, advice the guest to wait for the wifi to be connected due to slow performance of the guest laptop, after waiting the wifi was connected to her laptop, internet connected now",,Guest already satisfy,Rommel Sardoma,11:21:17 PM
03/07/13,BHOTEL,714,Vingcard,4:10pm,4:35pm,rm714  doorlock reader cant read master keycard but ok at guest keycard,"Reprogram the keycard reader and replace the battery but still same problem, replace the keycard reader and after replace reprogram again, test guest keycard and RA master keycard, keycard reader ok now",,Rm714 doorlock reader ok now,Rommel Sardoma,09:33:34 PM
03/07/13,TBM MW,1507,Internet,10:40pm,10:44pm,Guest cant connect to wifi,"Arrive at the guest rm and check his ipad and notice that the guest has no internet because its not yet connected to wifi, connect the ipad of the guest at wifi, open internet",,Guest already connected to internet,Rommel Sardoma,10:48:12 PM
03/08/13,TBM TW,1424,Internet,1:20 pm,1:30 pm,requested lan cable,delivered lan cable ,,done,Jeff Gaspar,07:47:48 PM
03/09/13,TBM MW,1505,Telephone,2:15pm,2:31pm,Telephone not working,"Arrive at the room and check at the telephone and found out that it was ok, call GSC cindy and advice the guest that maybe his son playing the button of the phone",,Phone even ok,Rommel Sardoma,10:08:31 PM
03/10/13,BHOTEL,1114,Vingcard,3:50pm,4:35pm,vingcard doorlock lobatt,"Try to open the rm1114 doorlock using the system  door open lock link but still nothing happen, reset all cable connection but still the doorlock power no response, replace the battery and reprogram the doorlock, test the doorlock using FO keycard",,Doorlock ok now,Rommel Sardoma,04:51:21 PM
04/04/13,TBM TW,1227,Vingcard,4:58pm,5:04pm,rm 1227 vingcard doorlock lobatt,"Replace the battery of vingcard doorlock, test the doorlock using RA master key and guest room key",,rm1227 Doorlock ok,Rommel Sardoma,08:23:09 PM
04/05/13,TBM TW,2030,Internet,3:20 pm,3:30 pm,hskping requested for lan cable,delivered cable to the room.,,done,Jeff Gaspar,04:27:14 PM
04/09/13,TBM TW,736,Internet,1:14pm,1:35pm,Guest cant go to the wifi inside the rm,"As i arrive at the rm no guest was shown at the door upon buzz of 3 times, advice GSC to call the guest inside the rm but no one answer, advice DM and request assistance at security, upon arriving inside the rm and while checking notice that the wifi connection was ok",,Wifi ok at rm 736,Rommel Sardoma,09:51:26 PM
04/16/13,TBM MW,803,Internet,8:49am,8;57am,Guest in internet problem,Found out guest mistakenly read the user ID m803 to MA04. Correct the user ID and he successfully connected to the internet.,,done,Mark Ruaya,06:24:51 PM
04/16/13,TBM TW,1521,Internet,7:51PM,7:54PM,Internet Assistance,"Assist the guest at rm 1521 and make a briefing on how to connect to the bellevue wifi and how to input the username and password at the bellevue webpage, after briefing guest connect now to internet",,Guest already satisfy,Rommel Sardoma,09:24:45 PM
04/16/13,TBM TW,534,Internet,11:20pm,11:38pm,Internet Assistance,"Assist guest in connecting wifi thru his iphone and notice that it was connect and disconnect in his iphone but ok in our laptop, reset the AP but still same problem, add the mac address of his iphone at antlabs and check again the internet and it was ok",,Guest already satisfy,Rommel Sardoma,11:40:38 PM
04/17/13,TBM TW,1225,Internet,10:20PM,10:32PM,Internet Assistance,"Assist the guest in connecting to wifi as well as inputting username and password at internet, internet connection ok now",,Guest already satisfy,Rommel Sardoma,10:56:40 PM
04/19/13,TBM TW,1724,Telephone,10am,,Reported by Rommel thru email and GSC upon check list. Bed side tel problem no dial tone,Upon checking found out only on bed side tel unit has no dial tone. Replaced defective unit with good one from our spare units.,,done,Mark Ruaya,01:59:43 PM
04/19/13,TBM MW,903,Internet,3pm,4pm,Cisco wifi 14f not stable on and off . ,With Sir Jeff isolate problem  found out rj45 not properly crimped re crimped test ok but still under observation,,for monitorin.,Mark Ruaya,06:01:57 PM
04/20/13,TBM MW,805,Internet,10:00 pm,10:15 pm,Guest cannot connect to LAN connection on data port on wall.,"Replace LAN cable, test on both data port, both backup and primary has no connection, suggest to guest to connect using WIFI, 2 bars detected and was connected",,internet was enable on laptop.,John Pacion,12:25:58 AM
04/20/13,TBM MW,904,Internet,1:00pm,2:00pm,Problem on primary port no connection.,With Rommel repaired and restored connection on both backup and primary port internet connection found out defective orange pairing replaced with blue pairing.,,Test ok ,Mark Ruaya,04:38:56 PM
04/20/13,TBM MW,805,Internet,2pm,4pm,Reported by Sir John thru bulletin board both primary and backup internet port writing desk no connection.,With Rommel restored and fixed problem on primary connecton by replacing defective pairing blue with green pairing. Backup connection no problem we just re inserted the patching on the patch panel. ,,Test ok both primary and backup connection.,John Pacion,04:41:36 PM
04/20/13,TBM TW,928,Internet,6:35pm,6:48pm,Guest cant connect to internet,"Check the laptop of the guest and notice that the wifi to his laptop was not yet on, turn on the wifi and assist the guest on how to connect to wifi and to internet, guest internet connection ok",,Guest already satisfy,Rommel Sardoma,06:54:19 PM
04/23/13,TBM TW,1731,Internet,7:58PM,8:02PM,Guest cant login using the given username and password,"Check the given password and try myself to login and found invalid, call GSC and have a new password, guest connected already to internet",,Guest already satisfy,Rommel Sardoma,09:07:55 PM
04/24/13,TBM MW,1628,Internet,9;49am,10am,guest low internet signal.,Guest currently connected to TPlink hall way area. Setup TPLink inside his room test with internet and signal ok ,,Guest checkout tom noted on opera by FO May.,Mark Ruaya,05:36:56 PM
04/24/13,TBM TW,833,Telephone,11:30am,1pm,GSC reported call to room 833 not going thru.,Assisted by SG Found out outgoing ok only incoming cannot thru. Used other pairing white brown for bathroom phone. test ok ,,Test ok. done,Mark Ruaya,05:40:30 PM
04/25/13,TBM TW,2022,Telephone,10:00 am,10:15 am,"Reported by Ms. Anne -HSKPNG , RA for TW 20th floor advised room 2022 all phone has no dialtone.",Assisted by Mark R. thru phone reconnected jumper line for RM2022 at the PABX room TTC.,,Test by RA dialtone restored.,John Pacion,05:52:08 PM
04/25/13,TBM TW,1428,Internet,11:00 am,11:15 am,"As reported by DM to sir Mark this morning regarding complain by guest of low wifi inside the room,to check wifi signal and placed AP if requested by Guest.","Assisted by Eric-praticumer using laptop, iphone, android phone WIFI signal is Low at the guest desk and near window.Using Speedtest.net",,"Advised by sir Mark to install AP at room when guest is present,turn over to Rommel S.",John Pacion,05:57:04 PM
04/25/13,TBM TW,1428,Internet,2:45pm,3:05PM,Guest internet connection weak,"Install AP at the guest rm at rm1428, test the connection at MIS laptop and found ok, advice the guest to check now the connection using his iphone and after login he said that it was fast now",,Guest already satisfy,Rommel Sardoma,09:31:03 PM
04/27/13,TBM TW,1822,TV/DVD Player,3:37pm,3:45pm,Guest want the PSP to project at TV reported by engineer,"Assist the engineering for the request of the guest to project the PSP at the TV, work already done.",,Done by rommel ,Rommel Sardoma,05:36:09 PM
04/27/13,TBM MW,1506,Internet,8:31pm,8:42pm,Guest laptop always loop to bellevue webpage,"Check the laptop of the guest and found always looping at bellevue webpage when accessing other site , type logout at the address bar and get a new password at GSC, after putting the username and password internet of the guest is ok",,Guest already satisfy,Rommel Sardoma,10:16:59 PM
04/27/13,TBM TW,1731,Internet,9:10pm,9:15pm,Guest wifi connection weak,"Call GSC to check the guest at rm1731 and as per GSC the guest will call if theres a concern again to the wifi connection, last call was arround 9:15,guest did no call anymore",,Guest no follow up anymore for wifi connection,Rommel Sardoma,10:22:29 PM
04/28/13,TBM TW,1229,Internet,8:30pm,8:33pm,Guest cant login using the given password,"Check the way the guest login and notice that he was using the login to the windows of broadband connection, assist the guest on how to use the username and password, ",,Guest Already Satisfy,Rommel Sardoma,09:33:51 PM
04/28/13,TBM TW,629,Internet,10:16pm,10:26pm,Guest on/off wifi signal,Guest currently connected to the AP at the hall way area. Setup TPLink inside his room test with internet and signal ok ,,"Guest checkout May 29, 2013 noted on opera by FO Adonis",Rommel Sardoma,10:29:11 PM
04/29/13,TBM TW,723,Internet,8:37pm,8:44pm,Guest cant login to internet,"Check the way the guest login and notice that the guest choosing the access code instead og user id and password thats why the guest cant login, advice the guest to choose user id and password after that guest already has an internet",,Guest already satisfy,Rommel Sardoma,08:47:28 PM
04/29/13,TBM TW,1730,Internet,8:51pm,8:53pm,Guest complain cant connect to internet,When i arrive at the room and after the guest open the door he just approach me that the connection is already ok now.,,Guest already satisfy,Rommel Sardoma,09:00:39 PM
04/30/13,TBM TW,528,Internet,10:33pm,10:45pm,Guest cant connect to internet,"Check the wifi settings of the guest laptop and found some conigured ip address, to make the configuration not to be deleted advice the guest to use lan instead of wifi, guest appreciate it",,Guest already satisfy,Rommel Sardoma,10:49:07 PM
05/01/13,TBM TW,625,Internet,5:43PM,5:52PM,Guest cant access internet using the given password,"Check the password by logging in at the bellevue webpage and found out that limit exceeded, delete some access at antlabs under the rm625, try again to login and its ok",,Guest already satisfy,Rommel Sardoma,06:39:05 PM
05/01/13,TBM TW,1726,Internet,7:22PM,7:39PM,Internet Assistance,Assist the guest on how to use the username and password and how to access the internet,,Guest already satisfy,Rommel Sardoma,07:40:17 PM
05/01/13,TBM TW,1228,Internet,8:45pm,9:05PM,Rm1228 wifi weak signal,"Setup TPlink router at rm 1228 due to weak signal but guest can still connect to the router at the hallway,Replace I/O at rm 1228 before installing router due to intermittent lan connection.",,Guest wifi and lan ok now,Rommel Sardoma,11:02:44 PM
05/02/13,TBM MW,808,Vingcard,10:00 am,10:15 am,"As reported by Ms. Anne - HSKPNG that RA cannot open Accesslock of Guest room, no light indicated","Upon testing of accesslock no problem detected,retrieved events on IPAQ..reprogrammed accesslock according to room number",,accesslock tested and working.,John Pacion,06:22:43 PM
05/02/13,TBM TW,1134,Telephone,10:50 ,,Atong - Engg reported bathroom phone has no dialtone.Desk Phone was ok,"Setin/Setout  ALC card for local#71134, after setin dialtone was restored on bathroom phone.",,no phone was replaced.,John Pacion,06:29:45 PM
05/03/13,TBM TW,1830,Vingcard,7:48pm,7:53pm,Vingcard doorlock lobat reported by sir jesse of HK,"Replace the battery of the doorlock, test using room key and master key",,Doorlock ok now,Rommel Sardoma,07:53:59 PM
05/04/13,TBM TW,1421,Vingcard,10:46pm,10:56pm,Reported by Bong of HK lowbat battery on Vingcard,Replaced battery and reprogrammed access door. Test ok using MIS maintenance key card.,,done,Mark Ruaya,05:06:33 PM
05/04/13,TBM TW,1535,Internet,4:24pm,4:35pm,Guest internet problem on Wifi,Found out guest wifi adapter on his laptop could not detect any wifi ssid but on guest phone and our laptop can detect wifi and can connect to the interne. Instead connect him via lan port and found out defective lan port from TV to wrinting Desk. Temporarily connect directly to TV port.,,For troubleshooting once guest checkout on May 11 2013,Mark Ruaya,05:11:04 PM
05/04/13,TBM TW,624,Internet,6:20 pm,6:30 pm,internet assistance. wifi was turned off.,turned on wifi and reconnected her.,,done,Jeff Gaspar,06:35:15 PM
05/05/13,TBM MW,704,Internet,3:05pm,3:11pm,wifi connection on/off at the guest rm,"Check the wifi connection at the guest rm and found out that the connection is weak, ask the guest if he really preferred wifi for internet or if he want his laptop to be connected to lan and as per him lan is ok for him for internet access","For checking of wifi connection at rm 704, check out 5/10/2013",Guest already satisfy,Rommel Sardoma,07:16:52 PM
05/05/13,TBM TW,2018,Telephone,4:05pm,4:11pm,Bed side phone no dialtone as per Sir marlon of Engineering,"Check the phone and found no dialtone, reset the line cord connection at phone I/O, phone already ok",,Work already done,Rommel Sardoma,07:18:36 PM
05/07/13,TBM MW,805,Internet,8:15pm,8:28pm,rm805 wifi weak signal,"setup tplink router at rm 805, check and test the connection after install, wifi signal excellent",,Guest already satisfy,Rommel Sardoma,10:13:21 PM
05/08/13,TBM TW,922,Internet,8:40 pm,8:50 pm,internet assistance,reset his connection for 3x before he connected to the internet.,,done,Jeff Gaspar,08:51:06 PM
05/08/13,TBM MW,1216,Internet,2:15pm,2:35pm,Guest cant connect to internet,"check the wifi at the room and found cant connect, try to connect to lan but still no connection, check IDF and found out that IDF was off, turn on the IDF and check again the internet of the guest, internet already ok now",,Guest ok now,Rommel Sardoma,10:53:48 PM
05/08/13,TBM TW,933,Internet,10:15pm,10:40pm,Wifi slow,"check the wifi inside the room and found weak, reset the AP but still weak, reset the dlink switch at 8th floor IDf and check again the connection at the rm933, access some website, internet ok now",,Guest already satisfy,Rommel Sardoma,10:56:19 PM
05/08/13,BHOTEL,511,Internet,8:20pm,8:30pm,Guest cant login to bhotel webpage,"check the way the guest login and notice that an error appear sharing limit exceeded, access antlabs to mis laptop on the guest rm and delete some access which did not logout, advice the guest to check again, guest can login now",,Guest already satisfy,Rommel Sardoma,12:04:49 AM
05/09/13,TBM MW,513,Internet,7:45pm,7:50pm,Lan cable,Deliver Lan cable at the guest room,,Guest already satisfy,Rommel Sardoma,08:55:09 PM
05/09/13,TBM MW,1015,Internet,8:10pm,8:17pm,Internet slow,"Check the internet at the room and found ok at MIS laptop, possible the laptop of the guest too old and slow as per guest. guest use lan connection instead of wifi",,Guest already satisfy,Rommel Sardoma,08:57:19 PM
05/09/13,TBM MW,813,Internet,9:02pm,9:15pm,Guest cant access website,"Check the laptop of the guest and found connected at wifi but cant access any website, check the wifi and connect using mis laptop after connect access website and found ok, advice the guest to restart his laptiop but the guest regret, it ok now he will restart it later",,Guest already satisfy,Rommel Sardoma,09:25:53 PM
05/09/13,TBM TW,1125,Internet,9:47pm,10:05pm,Guest cant connect to wifi,"Check the laptop of the guest and found cant connect to wif and even in lan, use mis laptop to check wifi and lan and found cant connect too, access router switch at 11th flr IDF and same problem encounter, check MIS pinging info and found request time out, reset router 1 and after reset connection resume, advice guest at 1125 to reconnect, internet ok",,Guest already satisfy,Rommel Sardoma,10:25:59 PM
05/11/13,TBM TW,736,Internet,8:20pm,8:44pm,Guest cant connect to internet,"Check the laptop of the guest and found out that it was connected but cant view webpage, check network settings and found ok, check the wifi if theres installed and found wifi at the back of the TV, reset the wifi and after reset internet ok",,Guest already satisfy,Rommel Sardoma,11:45:33 PM
05/11/13,TBM TW,1421,Telephone,8:50pm,9:25pm,All phone no dialtone,"check the phone inside the room and found no dialtone check the line at PABX room at MIS office and found a wang wang sound, trace the wang wang sound at the 14th flr TTC and it was already trace, check the bathroom phone and and phone connected found it was wet, clean the connector after cleaning the connector dial tone ok",,Guest already satisfy,Rommel Sardoma,11:49:52 PM
05/12/13,TBM TW,926,Internet,8:30am,8:40am,Guest could not access the internet.,Upon checking guest already resolved the problem. ,,done,Mark Ruaya,09:26:34 AM
